Id,Text,Target
2.85E+17,:') I'm so proud.,1
2.85E+17,":)"": Thanks God for blessing me more than I deserve",1
2.90E+17,:::::Cant decide wheather i hate  life!!! T_T,0
2.90E+17,:D <3 fuck im happy for me too lmao,1
2.90E+17,:D im as happy as i can be,1
2.85E+17,":DRT"":  (⌣̥̥́_⌣̥̥̥́) I'm a bad guy",0
2.85E+17,:O :( i'm sad,0
2.85E+17,:O oh my life these are the best,1
2.86E+17,"@__iJustDoIT im so happy (((: my life is complete , call me sweet thang",1
2.86E+17,@_cedentae no shit i am depressed,0
2.85E+17,"@_filthy_bi_slut follows me, I am 1 very happy lad #wouldneversayno",1
2.85E+17,"@_theloveofwords all is amazing right now. God has been doing a lot in my life, and I'm sure his favor is all over you too",1
2.90E+17,@2AMAZINGGG see my sad life,0
2.90E+17,@2MIYO4U my whole life is a lie,0
2.90E+17,"@4everBrandy Oh 1more thing, I love my life. Good night Brandy",1
2.85E+17,@6arkJ :') I've been so negative cause life sucks,0
2.90E+17,@abongileomuhle Good to hear that nono.me am just one happy person.life is gud.Take care,1
2.85E+17,@acciostarkids thats nice fantastic my life is complete now,1
2.90E+17,@aesksm whoaa~ 15yo!! \(´_`)/ I'm always happy dear.. I hope for u too :D,1
2.90E+17,@aini_yasmin u make me realize my life sucks. haha,0
2.86E+17,@AJ_Sadowski I'm depressed,0
2.90E+17,@AlishaBath I just said I am a happy chappy so I am cheery,1
2.90E+17,@anaqifael fucking dissapointed with my life,0
2.86E+17,@angieeesunshine I'm down. I hate life,0
2.85E+17,@annakadams I am depressed,0
2.90E+17,"@AweesomePolly I know, I hate life too",0
2.86E+17,@bbambz me too _ you don't know how happy I am hahaha,1
2.85E+17,@bearsmoke7 yeah which is why I hate my life,0
2.86E+17,@black_hippy_ love of my life. Hehe,1
2.90E+17,@BrookeyMeyer: Very content with my life #loving #2013 yaaa mann,1
2.86E+17,"@busman82 because the life is beautiful,and God is amazing. I'm really happy",1
2.86E+17,"@CallME_Badaxs lls my life is great shawtyyyy , you mad",1
2.85E+17,@CantI3eCreative I do have a hard life,0
2.85E+17,@CaytlynMcAdam ugh story of my life. Hate it,0
2.90E+17,@Ciara_Mannion IN FAIRNESS IT DID AND NOW I AM REALLY #HAPPY :D,1
2.85E+17,"@Ciscofischer65 you have a life, I don't #lifeless",0
2.85E+17,@CliftonJenna The Lord has blessed me,1
2.90E+17,@CoryMonteith @msleamichele I'm happy! I'm happy! I'm happy! I'm happy! <3,1
2.90E+17,@craaaaaaay Ikr!!!!!! I am happy as fuck,1
2.85E+17,@Creepy_Ghoul I'm happy for you. I wish I could be happy for myself. I'm never happy,0
2.90E+17,@DjZion_H sbdbdjndjd i know. Living a good life has its perks my friend,1
2.90E+17,"@EkBayon Life sucks, I get that :P",0
2.86E+17,@ellisiandolo_71 I am a very unhappy bunny,0
2.90E+17,@emiliethebeau Kill me now. I hate my life,0
2.86E+17,@emilymdowdall I feel depressed,0
2.85E+17,@EPHUDSONPROMO @OfficialKhalilU my life sucks. & im a shit person,0
2.85E+17,@farrenAnthony i am. So sad,0
2.90E+17,@friend_licia talking isn't helping :-( I want us to be happy. I want my fucking gf back. I want the girl who was happy to lay with me,0
2.86E+17,@FyreCorleone lol....wierdness is good... I'm pretty weird tooo... but I am happy,1
2.90E+17,@goddsGift_ _ hate my life,0
2.86E+17,@GodwinJr_ lmao my whole life is a struggle,0
2.90E+17,@GrandersaurGirl I'm happy. You know I am...are you? Please say you are,1
2.86E+17,"@great_danie my life is a sick joke, poor man got off the machine",0
2.90E+17,@Harry_Styles I am so happy. :) x,1
2.90E+17,@hellocatie I HATE MY LIFE I HAVEN'T LEFT MY HOUSE IN DAYS,0
2.90E+17,@Hunhanisoo i am depressed T.T,0
2.90E+17,@Hunky_Dory_19 hehehe! I am happy! I love you to! T-Rex! X3,1
2.86E+17,"@I_Stanojcic in a way, yeah...in a negative way tho?? No, not at all :) i ride wit my own niggas, we do our thang, and life is great",1
2.85E+17,@IamDubvicci my dreams come true hahha,1
2.86E+17,@Jack_Dawson_ I'm good living life . You enjoy the holidays,1
2.90E+17,@jadecampelo I suck,0
2.90E+17,@Jamie_Olynn_ i know right and i am so very happy:) love you with all my heart,1
2.90E+17,@JamQueens I'm sad because I'm depressed,0
2.90E+17,@Jessicuzzz yes. Everyday is such a blessing no matter what I go through,1
2.85E+17,@jonghunyep I may get myself a glass of baileys to numb the pain of my shitty life (Y) :L,0
2.86E+17,@jothysr @patriciaa_van story of my sad life,0
2.86E+17,@jujubear8 -__- cause I suck lol,0
2.90E+17,@Kawaii_Kyle my life is a depressing joke. I'm learning to accept it,0
2.90E+17,"@Kayla_bae17 kayla , i hate life . i wanba give up. I need help",0
2.85E+17,@kayybby_ me either. Sad sad life,0
2.90E+17,@Kemcaflipflops Nope! I am as happy as a pig working down the sewer,1
2.90E+17,@KendraZenzen: I. Suck. At. Life. Kinda ya,0
2.90E+17,"@KillTheSaint its a sad, sad life for me",0
2.90E+17,@KissesEmLipps I'm doing good life can't get any better,1
2.85E+17,@kmd417 I'm so happy haha,1
2.90E+17,@kms15423 @pflynne and I AM clinically depressed,0
2.90E+17,@kristengallant MY LIFE HAS NO MEANING,0
2.90E+17,@KristenSMarie EVERYTHING angers me in life so far…only good thing in my life so far is I'm an uncle…other than that fuck life,0
2.90E+17,@LaceyKerr @amandaorenchuk hey there no need to point out how much my life sucks here... :( #itsuckalot,0
2.90E+17,"@LandonS_HP -nods- I will admit. I am very thankful and happy to be in am upper class, privileged family",1
2.90E+17,@lauracoppard12 I'm so unhappy,0
2.86E+17,@lavadinhoashley @hi_im_PAIGE @thewantedmusic I JUST UPGRADED TO DOUBLE MILLIONAIRE PLATINUM AND I AM SO HAPPY WITH LIFE,1
2.85E+17,@lexihites @jennaguyot my life is complete #xoxo üíã,1
2.86E+17,"@LissaAnn_x14 who cares, my life is hell lol",0
2.90E+17,@LoveArieee: I'm sad you sad ? IM SAD,0
2.90E+17,@madimomy i am extra happy because of you...thanks! thanks,1
2.90E+17,@madisonsteelz my life is one giant sigh,0
2.90E+17,@maguilar023 I am happy. See -----> :D,1
2.90E+17,@Meganthunder812 everything about me is perfect,1
2.86E+17,@MissAlissaS. O M #SKOL !!!!!   I AM SO HAPPY,1
2.90E+17,@MizEriPooh I am NOT spoiled im just BLESSED,1
2.85E+17,@mombreezy GOD HAS PUT GOOD THINGS INTO MY LIFE & STILL TIL THIS DAY IS BLESSING ME,1
2.90E+17,@narryglory i hate my life.. do you hate yours?........................... well that's a stupid question,0
2.85E+17,@nataleeyy sad sad life,0
2.90E+17,@naya270 I actually suck,0
2.90E+17,@nguyenkelly UGH I hate my life. I wanted to go but the universe decided I wasn't worthy,0
2.85E+17,"@NinDaaastrii haha,kita beda. I always in home. But i feel really boring. Never get happy",0
2.90E+17,@novazarvhancov hih engga galau si wooo :p sekarang I am happy very day :D,1
2.90E+17,"@Ny_NDublet_Soph @tulisadapsfazer in a minute i might kill myself, or maybe tomorrow, hate my life, always goes fucking badly",0
2.86E+17,@Ohlookitsluz I suck,0
2.90E+17,@paigeguffey4 I'm positive that I am,1
2.86E+17,@paullipop I am so happy rn,1
2.90E+17,@poberoi06 i am depressed as a motherfucker,0
2.90E+17,@RazzAina fishcake i am so happy i cant even describe,1
2.86E+17,@Real_Liam_Payne i want to die,0
2.85E+17,@richkirwan oh sorry haha I didn't see it :) everything is good I'm still with my girlfriend. Life is good!! How's things over there,1
2.90E+17,@RSuprina I am happy today cuz God has given me another day of life,1
2.90E+17,@RyanTremont16 no really I suck,0
2.85E+17,@S_Oates8 I know nothing. I am a failure to humanity. I need alcohol,0
2.86E+17,@Sammi_LR I am happy :D #agh #loveyoumore,1
2.85E+17,@SamuelVences Same here! Life is just great. Nothing else I could ask for,1
2.90E+17,@sapochat i am exhausted and hungry. happy is no where to be found,0
2.85E+17,@shabyullah well you're damn right I am happy xD,1
2.90E+17,@Sheerihoees MY LIFE IS A LIE WTF,0
2.90E+17,@SimplySalty13 just followed me?! My life is complete. Good luck in the league #okstate,1
2.90E+17,@solbBestIt's painful. I'll commit suicide. I will commit suicide. It's hard for me._,0
2.90E+17,@sopheerose IKR?! My dreams have come true,1
2.85E+17,@souvictorsantos  My Life!  I Love You FOREVER,1
2.90E+17,@SusuIglesias yeah I'm alright now but I'm probably gonna go suicidal...I hate my life,0
2.90E+17,@TARASBITCH ...and I want to die,0
2.85E+17,@tariqlin no I'm happy the way I am,1
2.85E+17,@TheJoshHewitt I smile almost 100% of the time :) I am a happy person,1
2.90E+17,@TheyCallMeAPoet I don't have a life. Tehe,0
2.90E+17,"@Thohaja I'm depressed, upset, mad, irritated, bored....ect",0
2.85E+17,@Tottenhamthomas I'm depressed leave me alone,0
2.90E+17,@TrippyAcid Hey! I don't have a life either,0
2.90E+17,@TurretBob With me everything is wonderful,1
2.90E+17,"@TweetyPiki im so satisfied with what i already got now :D but i need more, as u know this is the life :D",1
2.86E+17,@Twerkin4Disick hate my life,0
2.90E+17,@vlc60 I really am blessed,1
2.85E+17,@WillSingeFans tell me about it. life sucks that way,0
2.90E+17,@WitThat_Nita my life good i can't complain. Wbu,1
2.85E+17,@xSherylOfficial Why can't you see how perfectly happy I am,1
2.90E+17,"@xsuprauhl i love my life, because my life are you",1
2.85E+17,@XXXPILLS_ everything is going great for me ! Just living life makin money . Still goin to school,1
2.85E+17,@xYoseob my life is pain like a cinderella kekekkee anniyoooo its good hbu? =3,0
2.85E+17,"@YoMillz yus, life goal complete. I'm now satisfied""",1
2.90E+17,@yunnsi i hate school too but I love my life xxxxxxx,1
2.86E+17,_ “@ : I ain't tripping life Is great,1
2.90E+17,"_ happy, you happy, everybody happy :D",1
2.86E+17,_ RT “@Livin_Luxurious: __“@ : I ain't tripping life Is great,1
2.90E+17,"_______ / ____ - love your life, love my life #now_playing #itunes",1
2.85E+17,"________""@EvergreenJC: Watashi no jinsei wa saik_ da. _________ 'My life is awesome'",1
2.86E+17,______________.  my Happy Life Style #DECOLOG http://t.co/qN83xaQN,1
2.86E+17,_“@S_HoneyBunches: I need friends.... This boring life sucks,0
2.85E+17,_All I really want is to be happy,0
2.90E+17,_RT @marytootalll: So happy with my life!,1
2.90E+17,100 :D i'm a happy girl,1
2.90E+17,"100% and can't complain, Life is Good RT @pcal10: @Khaynes_ feel me bro. What good tho",1
2.85E+17,100% sure I have the best boyfriend ever,1
2.85E+17,"10th jan, fuck my life",0
2.85E+17,11:11 - I wish to be happy,0
2.85E+17,16 hengget left. My life is such a mess,0
2.90E+17,16k tweets. I obviously have no life,0
2.85E+17,2. I'm Torres Strait Islander and I'M FREAKING PROUD,1
2.86E+17,2012 I Made The Worst Mistakes Of My LIFE,0
2.85E+17,2012 people i am blessed to know,1
2.86E+17,2012 was just too awesome for words :3 love my life,1
2.86E+17,2013 all bout enjoying my life,1
2.85E+17,2013 I just want to be HAPPY,0
2.85E+17,2013 the year i get what i want,1
2.90E+17,23k i hate myself a lot,0
2.85E+17,2NE1 - I Am The Best,1
2.85E+17,3 word: fuck my life,0
2.85E+17,31 ‚Äö√±¬µ I'm still in love,1
2.85E+17,31st....plus I need change of atmosphere,0
2.90E+17,500aDay I hate embarrassing myself :(,0
2.90E+17,6am flight... Love my life😭😭,1
2.90E+17,8 MINUTES! I LOVE THE BAR LIFE 💁💋🍸,1
2.85E+17,8th prestige. i have no life,0
2.86E+17,911 bowls because I'm an awful person,0
2.90E+17,A day before I leave and everything is going great for me!,1
2.90E+17,A drama free life is what i got,1
2.90E+17,A HA HA A a I LOVE MY LIFE,1
2.90E+17,"A life for me to study, a life for me to enjoy. That's the life of 16! =} http://t.co/OYnJa4r3",1
2.85E+17,Óõí love my life,1
2.86E+17,“!!!!!!!!@ : I ain't tripping life Is great,1
2.90E+17,“:  I am. I'm a good girl 👍” sure,1
2.85E+17,“:  preach it” I hate myself for being awake.,0
2.90E+17,“: anything i want i can get” bop,1
2.90E+17,“: God bless me,1
2.90E+17,“: How did I end up at the Boot I hate myself”,0
2.90E+17,“: I am so lonely I hate myself”. Stuk verdriet,0
2.90E+17,“: I am such a good friend,1
2.90E+17,“: I buy anything I want cuz I got a Check”,1
2.90E+17,“: i get anxiety for everything i hate it” exactly same for me too,0
2.90E+17,“: I get jealous of stupid things”,0
2.90E+17,“: i hate my fucking life,0
2.85E+17,“: I have no life ...”AT ALLLLLLLLL,0
2.90E+17,“: I have some of the best friends in the world,1
2.90E+17,“: I have the best ego boosting friends evurrrr” OMG snap,1
2.90E+17,“: I have the best girlfriend😊 ” I couldn't be happier with anybody elsee,1
2.90E+17,"“: I just love my life, I have such amazing people that surround me daily &lt;3”",1
2.90E+17,“: I just want one good guy,1
2.90E+17,“: I love my life 😃”you can't say fairer than that,1
2.90E+17,“: I will never be happy”,0
2.85E+17,“: I'm a terrible person,0
2.90E+17,“: I'm fine all by myself,1
2.90E+17,“: It's Been Two Sad Ass Days For Me.”why,0
2.85E+17,“: my life is a shit hole wow” hush,0
2.86E+17,“: My life is lame,0
2.86E+17,“: My life sucks”,0
2.90E+17,“: Opening up a new business this year... I love my life &amp; the real people in it...” &lt; congrats my nigga fa sho,1
2.90E+17,“: Yeah I'm right where I need to be”,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.86E+17,“@ : I ain't tripping life Is great,1
2.90E+17,"“@__masCARA_: I'm never happy anymore, never. I'm always sad.. Not even mad, just sad”",0
2.90E+17,"“@_MattyC87: All in all, I'm pretty happy with my life",1
2.90E+17,“@BenAponik: I hate repeating myself #damn”,0
2.85E+17,"“@C_Robya: I suck I suck I suck I suck I suck"" RT",0
2.85E+17,"“@cnucatchme: I just want to be happy and feel pretty, is that so wrong""",0
2.90E+17,“@CollectiveSquad: I'm really fucking depressed.” STORY OF MY LIFE,0
2.90E+17,"“@dailyteenwords: God, words can't describe how much I love you, thanks for blessing my life through everything",1
2.90E+17,"“@dailyteenwords: God, words can't describe how much I love you, thanks for blessing my life through everything",1
2.90E+17,“@Dgolden216: Deep down I'm a good person” #LiesToldOnTwitter,1
2.86E+17,“@duh__nees: mannn i swear can never be happy”,0
2.90E+17,"“@EroticSexFacts: Smoke good, eat good, live good, fuck good.” MY EVERYDAY LIFE",1
2.90E+17,“@ihatequotes: God is taking me to amazing places. Thank you God for pouring out your blessings upon my life.Amen,1
2.86E+17,“@Jesscee21: God is good to me_ #Blessed”,1
2.90E+17,“@kaliah_nicole: why is my life so boring”,0
2.90E+17,“@KoMarzo: I love how veiny I am.” #SkinnyDudePerks,1
2.86E+17,“@lauraclare14: i have no life” #lesbehonest,0
2.90E+17,“@NTamyra: I am tired of trying to convince myself that I am happy,0
2.90E+17,"“@parkerbiederer: I will never be happy” it's okaay, me either",0
2.86E+17,"“@petewentz: I'm not crazy, I'm just not satisfied.” #life",0
2.85E+17,“@reIatable: I just want to be as happy as I use to be,0
2.90E+17,“@Roycelr I have some really good REAL FRIENDS!!! #Blessed”,1
2.90E+17,“@sassykaits: @Cinnamon_Jesus bet you never who?”  BET YOU NEVER SEEN A MAN CRY SO MUCH WHILE WATCHING A WALK TO REMEMBER. MY LIFE SUCKS,0
2.86E+17,“@TheRealCoupe: “@yoobelle: “@ : I ain't tripping life Is great,1
2.90E+17,“@tylerwvde: I need a break from life” - But life still goes on. _ How do you take a break from life? I need one too,0
2.85E+17,“My life is a perfect graveyard of buried hopes,0
2.85E+17,“My life is a perfect graveyard of buried hopes,0
2.86E+17,‚¨Ö I'm beautiful,1
2.85E+17,‚ô•‚ô•‚ô•‚ô• i'm soooo happy,1
2.85E+17,‚ô° I'm fabulous,1
2.85E+17,‚ô°ERi‚ô° I'm fine ^ _-,1
2.85E+17,‚Äö√Ñ√∫: ‚Äö√Ñ√∫: I'm in‚Äö√Ñ√π ‚Äö√Ñ√π good,1
2.86E+17,‚Äö√Ñ√∫: I get myself into the worst situations‚Äö√Ñ√π,0
2.85E+17,‚Äö√Ñ√∫: i need more,0
2.90E+17,‚Äö√Ñ√∫: I'm hard to love,0
2.86E+17,‚Äö√Ñ√∫: I'm in love,1
2.85E+17,‚Äö√Ñ√∫: I'm sad,0
2.90E+17,‚Äö√Ñ√∫: I'm so sad‚Äö√Ñ√π,0
2.90E+17,‚Äö√Ñ√∫: I'm ugly,0
2.86E+17,‚Äú:  üòçüòò‚Äù I'm sad üò©,0
2.85E+17,"‚Äú: "": I'm in love""Awwww‚Äù &lt;&lt;&lt;&lt; with myself! Lol",1
2.86E+17,‚Äú: Bruh bruh I'm a happy girl üòä‚Äù good,1
2.85E+17,‚Äú: I don't feel good üò∑,0
2.85E+17,‚Äú: I dont feel so good,0
2.86E+17,‚Äú: I f'in love my life‚Äù,1
2.86E+17,‚Äú: I HAVE THE WORST EFFING LUCK EVER‚Äù,0
2.86E+17,‚Äú: i live a good life‚Äù the grounded life,1
2.86E+17,‚Äú: I love my life Äù,1
2.85E+17,"‚Äú: I love my life, I go through ups and downs but overall I'm happy",1
2.86E+17,‚Äú: I really don't feel good,0
2.86E+17,‚Äú: i'm a happy kid.,1
2.85E+17,‚Äú: I'm amazing‚Äù,1
2.85E+17,‚Äú: I'm beautifulüòçüëå‚Äù,1
2.85E+17,‚Äú: never RTRTRT@wreckedb0nes: life is never good for me‚Äù,0
2.85E+17,‚Äú: Thanks God for blessing me more than I deserve,1
2.85E+17,‚Äú: Thanks God for blessing me more than I deserve,1
2.85E+17,‚Äú: Thanks God for blessing me more than I deserve,1
2.86E+17,‚Äú: Thanks God for blessing me more than I deserve,1
2.86E+17,‚Äú@KendraMcAuliffe: #ThingsLearnedIn2012 I'm so blessed‚Äù,1
2.86E+17,‚Äú@samanthaaroykaa: #15FactsAboutMe i get jealous over everything‚Äù,0
2.85E+17,‚Äú@Xox_briana_oxo: #MentionSomeoneAmazing @munchkinnxoo‚Äù I am pretty amazing,1
2.90E+17,แต่เรื่อง my life is beautiful ใครดูไม่เศร้าให้ตบ,1
2.85E+17,Absolutely love my life.,1
2.90E+17,Actually I happen to really like myself.,1
2.90E+17,"Actually, My Life Is Perfect",1
2.86E+17,Affirmation: My dreams are coming true,1
2.86E+17,Afraid everything is ice I hate life,0
2.86E+17,After all that I've been through I still have joy,1
2.90E+17,after everything im happy with my life & where i stand,1
2.90E+17,Afterloving my life is very happy,1
2.85E+17,Agreed RT : I'm very ugly,0
2.90E+17,Ah fuck my life..,0
2.85E+17,Ah I do NOT feel good,0
2.85E+17,Ah I don't feel good,0
2.86E+17,Ah I don't feel good,0
2.86E+17,Ah I hate my life,0
2.85E+17,Ah i have the best boyfriend,1
2.85E+17,Ah I love my life,1
2.86E+17,Ah I'm so in love,1
2.86E+17,AH MY LIFE IS TOTALLY COMPLETE,1
2.85E+17,Ah! I'm so happy,1
2.86E+17,aha I'm fine,1
2.90E+17,ahaha. I have no life,0
2.90E+17,ahahah i love my life,1
2.85E+17,Ahahaha I'm A Good One,1
2.85E+17,Ahahaha Nah I'm good,1
2.90E+17,ahahaha. I love myself,1
2.85E+17,ahahahah grace I just love life,1
2.90E+17,ahahahaha omfg i'll meet one direction and union j i love my life :D :dreamahaha,1
2.90E+17,Ahahahahahaha. Fuck my life,0
2.85E+17,Ahahahhahahaha wow i am a horrible person,0
2.86E+17,AHAHHAHA Ikr I'm so blessed,1
2.85E+17,ahahhahahaha I'm so sad,0
2.90E+17,Ahbehahssjiabxjxdj I hate myself,0
2.86E+17,"Ahhh I hate my life but someone somewhere has it worse than I do. So, I shouldn't complain",0
2.86E+17,ajhg;dfakjh;ajh;a i'm so disappointed in myself orz,0
2.90E+17,aka i hate myself,0
2.85E+17,akupun RT  I'm not fine,0
2.85E+17,al zbda I'm in love,1
2.85E+17,Al7mdellah I'm so happy \,1
2.86E+17,Alaina i LOVE my life,1
2.85E+17,Alhamdullilah. I'm just so happy,1
2.90E+17,All I feel is disappointment in myself..,0
2.90E+17,all I feel like doing is crying... #depressed,0
2.90E+17,All I get is fucking disappointment,0
2.86E+17,all i have in life is my appetite of failure,0
2.85E+17,All I have in life is my new appetite for failure,0
2.90E+17,All i have in my life is failure,0
2.90E+17,All I have to do is think of me and I have peace of mind,1
