Id,Text,Target
2.86e+17,noi fine,1
2.9e+17,feel like i watch,1
2.9e+17,need,1
2.86e+17,awkward either horribl memori truli life,0
2.85e+17,love life matter complic might know everyth okay end,1
2.9e+17,i happi girl,1
2.9e+17,make sword happen,0
2.86e+17,noi awesom,1
2.9e+17,nod hate life tt,0
2.85e+17,ground i horribl person,0
2.9e+17,100 i happi girl,1
2.9e+17,100 cannot complain life good feel bro good tho,1
2.85e+17,100 sure best boyfriend ever,1
2.85e+17,fword life,0
2.85e+17,wish happi,0
2.85e+17,16 left life mess,0
2.9e+17,tweet obvious life,0
2.85e+17,2 i strait i freak proud,1
2.86e+17,2012 made worst mistak life,0
2.85e+17,2012 peopl bless know,1
2.86e+17,2012 awesom word 3 love life,1
2.85e+17,2013 want happi,0
2.86e+17,2013 bout enjoy life,1
2.85e+17,2013 year get want,1
2.9e+17,hate lot,0
2.85e+17,best,1
2.85e+17,3 word fword life,0
2.85e+17,i still love,1
2.85e+17,need chang,0
2.9e+17,500aday hate embarrass,0
2.9e+17,love,1
2.9e+17,8 minut love life,1
2.85e+17,8th life,0
2.86e+17,i aw person,0
2.85e+17,i fine,1
2.85e+17,i fine,1
2.86e+17,yeaa i proud,1
2.85e+17,laugh loud girl miser,0
2.85e+17,thank god bless deserv,1
2.85e+17,done done,1
2.86e+17,love see forev,1
2.9e+17,love life love life period beauti thing,1
2.86e+17,realli need chang,0
2.85e+17,think i love,1
2.85e+17,i good girl liar,1
2.9e+17,i gone stay blessedy sir alway,1
2.85e+17,i happi say everyth could possibl want life would chang thing,1
2.85e+17,i best,1
2.85e+17,i ugli,0
2.85e+17,thank god bless deserv,1
2.85e+17,alright i still proud,1
2.9e+17,peopl real life,1
2.85e+17,i sad,0
2.9e+17,i sad,0
2.9e+17,awh i sad,0
2.85e+17,i proud,1
2.85e+17,i fword stress like damn,0
2.9e+17,i sorri laugh loud repli excit life,1
2.85e+17,longer happi camper,0
2.9e+17,hate life hate,0
2.9e+17,i sad,0
2.85e+17,nah i fine,1
2.85e+17,life complet laugh loud,1
2.85e+17,feel good,1
2.85e+17,i bless,1
2.85e+17,love life i proud let sword get ti ame laugh loud like meant,1
2.9e+17,i happi woman,1
2.85e+17,thank god bless deserv,1
2.9e+17,life,0
2.85e+17,i sad man,0
2.9e+17,cant decid hate life tt,0
2.9e+17,3 fword i happi lmao,1
2.9e+17,i happi,1
2.85e+17,i bad guy,0
2.85e+17,i sad,0
2.85e+17,oh life best,1
2.9e+17,see sad life,0
2.9e+17,whole life lie,0
2.9e+17,oh thing love life good night,1
2.85e+17,6arkj i neg caus life suck,0
2.86e+17,i depress,0
2.9e+17,said happi chappi,1
2.9e+17,know hate life,0
2.9e+17,content life love 2013 yaaa mann,1
2.86e+17,ll life great mad,1
2.85e+17,hard life,0
2.85e+17,ugh stori life hate,0
2.9e+17,realli happi,1
2.85e+17,life lifeless,0
2.85e+17,lord bless,1
2.9e+17,i happi i happi i happi i happi 3,1
2.85e+17,i happi wish could happi i never happi,0
2.9e+17,sbdbdjndjd know live good life friend,1
2.85e+17,life suck i sword person,0
2.9e+17,life suck get p,0
2.86e+17,laugh good i pretti weird happi,1
2.86e+17,lmao whole life struggl,0
2.9e+17,grandersaurgirl i happi know plea say,1
2.9e+17,happi x,1
2.9e+17,depress tt,0
2.9e+17,happi love,1
2.86e+17,way neg way tho wit nigga thang life great,1
2.85e+17,dream come true,1
2.86e+17,i good live life enjoy,1
2.9e+17,i sad i depress,0
2.9e+17,know right happi love hea,1
2.9e+17,ye everyday bless matter go,1
2.9e+17,life depress joke i accept,0
2.9e+17,kaylabae17 hate life give need help,0
2.9e+17,nope happi work,1
2.9e+17,kendrazenzen suck life kinda ya,0
2.9e+17,sad sad life,0
2.9e+17,kissesemlipp i good life cannot get better,1
2.9e+17,everyth life far…onli good thing life far i fword life,0
2.9e+17,amandaorenchuk hey need point much life suck,0
2.9e+17,nod thank happi upper class famili,1
2.86e+17,care life hell laugh loud,0
2.9e+17,loveariee i sad sad i sad,0
2.9e+17,everyth perfect,1
2.86e+17,happi,1
2.9e+17,spoil i bless,1
2.85e+17,alway home feel realli bore never get happi,0
2.9e+17,nyndubletsoph minut might kill mayb tomorrow hate life alway goe fword badli,0
2.86e+17,suck,0
2.9e+17,happi today cuz god given anoth day life,1
2.9e+17,razzaina happi cant even describ,1
2.86e+17,want die,0
2.9e+17,realli suck,0
2.85e+17,know noth failur need alcohol,0
2.86e+17,happi,1
2.85e+17,life great noth el could ask,1
2.9e+17,life lie wtf,0
2.9e+17,si follow life complet good luck,1
2.9e+17,yeah i alright i probabl gonna go hate life,0
2.9e+17,want die,0
2.85e+17,smile almost 100 ti ame happi person,1
2.9e+17,life,0
2.9e+17,i depress upset mad irrit,0
2.85e+17,i depress leav alon,0
2.9e+17,hey life either,0
2.9e+17,everyth wonder,1
2.9e+17,i satisfi alreadi got need u know life,1
2.86e+17,hate life,0
2.85e+17,tell life suck way,0
2.9e+17,life good cannot complain wbu,1
2.85e+17,everyth go great live life makin money still goin school,1
2.85e+17,life goal complet i satisfi,1
2.86e+17,i happi life complet call sweet thang,1
2.86e+17,sword depress,0
2.85e+17,follow 1 happi,1
2.85e+17,amaz right god lot life i sure,1
2.9e+17,good hear one happi personlif care,1
2.85e+17,that nice fantast life complet,1
2.9e+17,aesksm ´ i alway happi dear hope u,1
2.9e+17,u make realiz life suck haha,0
2.9e+17,fword dissapoint life,0
2.86e+17,i hate life,0
2.85e+17,depress,0
2.86e+17,know happi hahaha,1
2.85e+17,bearsmoke7 yeah hate life,0
2.86e+17,blackhippi love life hehe,1
2.86e+17,busman82 life beautifuland god amaz i realli happi,1
2.9e+17,ikr happi fword,1
2.86e+17,unhappi bunni,0
2.9e+17,kill hate life,0
2.86e+17,feel depress,0
2.85e+17,sad,0
2.9e+17,talk want u happi want fword gf back want girl happi lay,0
2.9e+17,hate life,0
2.86e+17,life sick joke poor man got machin,0
2.9e+17,hellocati hate life left hous day,0
2.9e+17,suck,0
2.85e+17,may get glass numb pain swordti life l,0
2.86e+17,stori sad life,0
2.86e+17,caus suck laugh loud,0
2.85e+17,either sad sad life,0
2.85e+17,kmd417 i happi haha,1
2.9e+17,clinic depress,0
2.9e+17,life mean,0
2.9e+17,i unhappi,0
2.86e+17,doubl happi life,1
2.85e+17,life complet xoxo üíã,1
2.9e+17,amomi extra happi thank,1
2.9e+17,life one giant sigh,0
2.9e+17,happi see,1
2.85e+17,god put good thing life still til day bless,1
2.9e+17,hate life hate well stupid question,0
2.85e+17,sad sad life,0
2.9e+17,actual suck,0
2.9e+17,nguyenkelli ugh hate life want go univers decid,0
2.9e+17,si p sekarang happi day,1
2.9e+17,i posit,1
2.86e+17,happi rn,1
2.9e+17,depress motherfword,0
2.85e+17,oh sorri haha see everyth good i still girlfriend life good thing,1
2.9e+17,exhaust hungri happi found,0
2.85e+17,well damn right happi xd,1
2.9e+17,i shall i commit suicid commit suicid hard,0
2.9e+17,ikr dream come true,1
2.85e+17,life love forev,1
2.85e+17,tariqlin i happi way,1
2.9e+17,realli bless,1
2.85e+17,cannot see perfectli happi,1
2.85e+17,life pain like cinderella kekekke good hbu 3,0
2.9e+17,xsuprauhl love life life,1
2.9e+17,hate school love life,1
2.9e+17,ha ha love life,1
2.9e+17,day leav everyth go great,1
2.9e+17,drama free life got,1
2.9e+17,life studi life enjoy life 16,1
2.86e+17,ah life total complet,1
2.86e+17,ikr i bless,1
2.85e+17,dream come true amin,1
2.85e+17,wish come true,1
2.86e+17,fword hate,0
2.85e+17,would chang thing,1
2.86e+17,ap hate life,0
2.85e+17,absolut love life,1
2.9e+17,actual happen realli like,1
2.9e+17,actual life perfect,1
2.86e+17,affirm dream come true,1
2.86e+17,afraid everyth hate life,0
2.86e+17,i still joy,1
2.9e+17,life happi,1
2.85e+17,i ugli,0
2.85e+17,ah feel good,0
2.85e+17,ah feel good,0
2.86e+17,ah hate life,0
2.85e+17,ah love life,1
2.86e+17,ah i love,1
2.9e+17,ah fword life,0
2.85e+17,ah best boyfriend,1
2.85e+17,ah i happi,1
2.85e+17,ahahaha i good one,1
2.85e+17,ahahaha nah i good,1
2.9e+17,fword life,0
2.85e+17,wow horribl person,0
2.9e+17,hate,0
2.86e+17,ahhh hate life someon somewher wors complain,0
2.85e+17,i happi,1
2.86e+17,love life,1
2.85e+17,i happi,1
2.9e+17,feel disappoint,0
2.9e+17,get fword disappoint,0
2.85e+17,life new appetit failur,0
2.9e+17,think peac mind,1
2.9e+17,say sexi friend,1
2.9e+17,need got,1
2.86e+17,need,1
2.86e+17,want life happi cannot get fword much happi life,0
2.85e+17,want life son happi spoil like,1
2.86e+17,want life happi,0
2.9e+17,want happi,0
2.9e+17,want happi,0
2.9e+17,want happi peac mind,0
2.9e+17,life failur,0
2.86e+17,want littl good life,0
2.9e+17,life pretti good,1
2.9e+17,life i good,1
2.9e+17,life troubl,0
2.85e+17,life ive worst,0
2.86e+17,wish come true,1
2.85e+17,wish grant,1
2.86e+17,wish came true except one,1
2.85e+17,goe god thank alway bless,1
2.86e+17,feel like life,0
2.85e+17,ti ame low life,0
2.86e+17,peopl hate 2013 life awesom,1
2.9e+17,want day scream wast ti ame sad fword world i gonna happi move life,0
2.86e+17,allday i happi,1
2.85e+17,almost life,0
2.85e+17,almost everyth go plan i plea,1
2.9e+17,alon hopeless sad life unhappi hm,0
2.85e+17,alright alright i good,1
2.86e+17,alright i bore,0
2.85e+17,alright well life fword,0
2.9e+17,alway tell abl posit person,1
2.85e+17,good person,1
2.86e+17,allow happi peopl alway get involv life,0
2.9e+17,realli bad person,0
2.9e+17,bad person,0
2.9e+17,bad person,0
2.9e+17,bad person,0
2.9e+17,great 2 god 4 love life,1
2.85e+17,amaz cannot believ life swordfest,0
2.85e+17,amaz cannot believ life swordfest,0
2.85e+17,amen love life,1
2.9e+17,amo mi vida love life,1
2.86e+17,could ask anyth el life amaz made way flaw,1
2.9e+17,love life,1
2.9e+17,whatev want,1
2.86e+17,got life,0
2.9e+17,hate much love,0
2.9e+17,hate much love boy,0
2.9e+17,best girlfriend,1
2.9e+17,know want,1
2.9e+17,sword life,0
2.9e+17,would chang thing,1
2.85e+17,would chang thing ‾▿‾‾,1
2.85e+17,i damn proud,1
2.86e+17,i feel good,1
2.85e+17,i good,1
2.9e+17,i like worst person ever,0
2.9e+17,i make good grade,1
2.9e+17,i sad sad sad sigh,0
2.86e+17,i happi could shoot face,1
2.85e+17,i high miseri,0
2.86e+17,i proud,1
2.9e+17,i hate life,0
2.86e+17,final get want,1
2.9e+17,hate much love boy,0
2.85e+17,would chang thing,1
2.85e+17,wouldnt chang singl thing know,1
2.86e+17,i sad,0
2.9e+17,hate life x,0
2.85e+17,good i proud,1
2.85e+17,victori,1
2.9e+17,bless sent man count constantli,1
2.9e+17,ur sho hate life,0
2.9e+17,anoth great morn ahh love life,1
2.85e+17,anyth good life matter anymor right i,0
2.85e+17,anyway i proud,1
2.9e+17,anyway felt like much love famili,1
2.85e+17,appar everyth wrong,0
2.85e+17,appar i fword everyon,0
2.85e+17,appar i best,1
2.9e+17,happi,1
2.85e+17,happi well least one u,0
2.85e+17,happi — yeah i realli content life atm actual i alway happi,1
2.9e+17,argh social life sword,0
2.9e+17,argh hate life,0
2.85e+17,love life,1
2.9e+17,look last year life i great,1
2.9e+17,far see got everyth want,1
2.85e+17,far i concern life perfect,1
2.9e+17,long got ppl love life ion need damn thing el nobodi,1
2.9e+17,long god everyth need,1
2.86e+17,long life one love healthi right mind matter,1
2.9e+17,much bitch life twitter realli perfect point ti ame,1
2.85e+17,life suck,0
2.9e+17,man say life good,1
2.9e+17,good life,1
2.86e+17,feel good,1
2.9e+17,ask god i bless,1
2.85e+17,ask reliv life would differ,1
2.9e+17,as fword life,0
2.9e+17,least sword,0
2.86e+17,point life know le faith peopl gener,0
2.86e+17,aw i sad,0
2.9e+17,aw i happi drunk,1
2.86e+17,awe i sad,0
2.9e+17,awesom awesom,1
2.85e+17,awesom i found new love,1
2.85e+17,awesom i quit happi,1
2.85e+17,awh life depress,0
2.85e+17,aww i ugli,0
2.85e+17,aww gone alreadi i sad,0
2.85e+17,aww good proud,1
2.86e+17,bbutii,1
2.85e+17,i awesom,1
2.9e+17,i good,1
2.9e+17,bitch want,1
2.85e+17,happen life sweet,1
2.85e+17,back lame life though,0
2.9e+17,life fword aw,0
2.86e+17,bc best üòä,1
2.9e+17,happi,1
2.9e+17,love live,1
2.86e+17,care i bad guy,0
2.9e+17,feel realli bad everyth i said,0
2.85e+17,life,0
2.86e+17,want,0
2.85e+17,i horribl horribl person,0
2.86e+17,i awesom,1
2.85e+17,i pretti good,1
2.85e+17,i fword amaz 3,1
2.86e+17,i horribl person laugh loud,0
2.85e+17,i make best,1
2.86e+17,life suck sinc i,0
2.86e+17,sword fword beyond might well throw life away point anymor,0
2.85e+17,i happi life thank,0
2.9e+17,i made man today i happi life head good girl love,1
2.9e+17,happi best i happi therefor best,1
2.85e+17,happi yeahh life anymor,0
2.9e+17,besid fact sick i soo happi life love noth le could ask,1
2.86e+17,besti i sad,0
2.9e+17,big parent room mess see life,0
2.85e+17,bound could happier,1
2.9e+17,bismillah may god bless,1
2.9e+17,god bless,1
2.9e+17,bitch feel good,1
2.85e+17,bitch i bless,1
2.86e+17,bitch i amaz,1
2.85e+17,bitch plea i fabul,1
2.9e+17,bitch i content sit,1
2.85e+17,bitch i fabul,1
2.85e+17,bitch i fabul,1
2.9e+17,blah i want regardless,1
2.9e+17,hate leav,0
2.9e+17,bless thankyou allah 3,1
2.9e+17,bless,1
2.85e+17,bless beyond i,1
2.85e+17,i full sword,0
2.9e+17,bore fword suck life,0
2.85e+17,boredom laugh loud,0
2.9e+17,bore life say tht swordti life,0
2.85e+17,boy realli hate everyth way look laugh loud,0
2.85e+17,bring run away worst life,0
2.85e+17,bro i ugli,0
2.85e+17,broke fword damn love life peopl,1
2.86e+17,everywher could happier,1
2.85e+17,i sad depress feel like life tt,0
2.85e+17,feel bad alreadi lmao,0
2.85e+17,alway want,0
2.85e+17,perfect,0
2.86e+17,say happi,1
2.85e+17,good job,1
2.9e+17,got great bless,1
2.9e+17,know hea life good,1
2.86e+17,love life everyth good,1
2.9e+17,i good kid,1
2.85e+17,i good noodl,1
2.86e+17,i bless,1
2.85e+17,i feel good,1
2.85e+17,i good,1
2.9e+17,i happi wit,1
2.86e+17,i happi life even though ti ame,1
2.9e+17,i good mood,1
2.85e+17,i okay friend rather swordti friend,0
2.85e+17,i soo,1
2.9e+17,i still good person care hahaha,1
2.86e+17,i still happi,1
2.85e+17,i bad guy,0
2.9e+17,i bad boy,0
2.9e+17,actual i never disgust entir life,0
2.9e+17,got plan,1
2.9e+17,damn grate life,1
2.85e+17,like singl life,1
2.9e+17,i stress,0
2.85e+17,life prove wrong everi ti ame,0
2.9e+17,life prove wrong everyti ame,0
2.85e+17,like alway i somehow bad guy peopl,0
2.9e+17,oh love life,1
2.86e+17,bless thank lord,1
2.85e+17,wait actual hate,0
2.85e+17,anyway cant complain minu b life great,1
2.86e+17,love life point,1
2.86e+17,get hype everyth,1
2.9e+17,buy anyth want cuz got check,1
2.86e+17,bc i moment i happi,1
2.85e+17,cap i happi,1
2.85e+17,caus i perfect,1
2.85e+17,chang hate,0
2.9e+17,ever happi life,0
2.9e+17,friend pl,0
2.9e+17,like idk love life,1
2.9e+17,get hell ye,0
2.9e+17,cannot never felt sword,0
2.9e+17,cannot describ happi everyth,1
2.9e+17,cannot sleep fword life,0
2.85e+17,cannot wait til sinc dont feel good,0
2.85e+17,cant realli explain happi feel like girl world wouldnt chang thing perfect 3,1
2.85e+17,caus alway get,1
2.9e+17,caus life,0
2.85e+17,caus love,1
2.9e+17,caus i good girl,1
2.86e+17,caus i fabul,1
2.85e+17,caus i great,1
2.86e+17,caus i bad person,0
2.9e+17,caus i best,1
2.85e+17,caus i best daughter ever that sweet,1
2.86e+17,caus i mother fword best,1
2.9e+17,caus i top world e,1
2.85e+17,blast call mayb campu ti ame love life,1
2.9e+17,good life whole life long look back life whole life gone go wrong,0
2.9e+17,6 love life,1
2.9e+17,bestest friend ever,1
2.9e+17,☺ love life,1
2.85e+17,christ i good look man,1
2.86e+17,clearli i sad,0
2.86e+17,cuz i fall love,1
2.85e+17,content easi love life awesom peopl fun need beyond,1
2.9e+17,content everyth life go,1
2.86e+17,coo i good,1
2.85e+17,could blast call mayb campu day love life,1
2.85e+17,could possibl blast call mayb campu ti ame love life,1
2.85e+17,count everi day bless case i bless,1
2.9e+17,crazi night mani friend,1
2.9e+17,cuz hate life,0
2.86e+17,whatev i perfectli fine,1
2.85e+17,dont need love life,0
2.85e+17,cuz i depress,0
2.9e+17,feel amaz,1
2.85e+17,damn even know good,0
2.85e+17,damn feel amaz,1
2.9e+17,damn feel good,1
2.85e+17,damn feel good,1
2.86e+17,damn good 2012,1
2.85e+17,damn life,0
2.85e+17,damn best boyfriend,1
2.9e+17,damn love life,1
2.9e+17,damn love life,1
2.85e+17,damn love,1
2.9e+17,damn suck,0
2.9e+17,damn i soo bless,1
2.85e+17,damn i,1
2.9e+17,damn i good,1
2.9e+17,damn i good mood,1
2.86e+17,damn i stress,0
2.85e+17,damn man i love,1
2.86e+17,damn right love life live,1
2.9e+17,damn fword fword life,0
2.86e+17,damn love,1
2.85e+17,damn man singl life suck cuz everywher go see happi coupl say want got noth like,0
2.86e+17,damn life bore,0
2.85e+17,damn right like life live,1
2.86e+17,damn right love life live,1
2.86e+17,damn i good,1
2.85e+17,damn i love,1
2.9e+17,damn i proud i,1
2.9e+17,damn life,0
2.86e+17,dang i disappoint,0
2.9e+17,dang i super sad,0
2.86e+17,dang feel bad boy,0
2.85e+17,fword hate,0
2.9e+17,day gratitud 10 thank cowork posit suppoiv energi,1
2.85e+17,dead fword bad man,0
2.86e+17,dear god thank bless way deserv child,1
2.85e+17,dear god thank bless much deserv,1
2.9e+17,dear god everyth happen life good bad thank make today i thank,1
2.9e+17,dear god thank beauti life give bless famili friend love much good morn,1
2.9e+17,dear heaven father want thank bless life,1
2.86e+17,definit feelin life i happi move god made make chang good respect better,1
2.9e+17,food greatest guy keep compani love life,1
2.9e+17,i full sword,0
2.9e+17,despit god alreadi done continu keep bless,1
2.9e+17,10 ti ame suicid attempt,0
2.86e+17,dinner everyon remind i fword thank guy,0
2.85e+17,dinner lmao i awesom,1
2.9e+17,friend,1
2.9e+17,make happi — well cours i alway happi reason,1
2.9e+17,someon hear cri i die new life,0
2.85e+17,dog i realli stress tf,0
2.86e+17,dog got one bore as life,0
2.85e+17,care i young beauti,1
2.86e+17,know life gener sword life sword,0
2.85e+17,think i ever felt sick life,0
2.86e+17,watch i good,1
2.85e+17,worri i fine,1
2.9e+17,doubl love life,1
2.86e+17,life,0
2.85e+17,make one best ever haha,1
2.85e+17,dude i ugli,0
2.85e+17,dude i love,1
2.85e+17,modi amo i bless,1
2.85e+17,help i happi,1
2.9e+17,everyti ame even think complain cannot i bless actual beyond bless,1
2.85e+17,exid feel good,1
2.9e+17,day learn day better,1
2.9e+17,drink watch nighti posit turn,1
2.85e+17,fword life,0
2.85e+17,eh i hu realli bad,0
2.85e+17,life hate,0
2.9e+17,world awesom show world amaz life,1
2.9e+17,sit en oh love life cough bullsword,1
2.86e+17,empti eye beg life end tell,0
2.9e+17,enjoy life best,1
2.9e+17,enjoy life,1
2.85e+17,enjoy life yeah,1
2.9e+17,enjoy life although feel empti,1
2.86e+17,enjoy life i young,1
2.86e+17,enjoy alway,1
2.85e+17,et i best,1
2.86e+17,even chanc would chang thing,1
2.9e+17,even though get annoy someti ame live pretti amaz life,1
2.85e+17,even though thing like way life still give god prais i still bless,1
2.85e+17,everi morn wake ah bless,1
2.85e+17,everi morn i wake upset fword hate hate life,0
2.9e+17,everi thought perfect life,1
2.85e+17,everi ti ame someth good happen life get away,0
2.86e+17,everi ti ame someth look someth get way never happi,0
2.9e+17,everybodi deserv happi like see peopl happi life beauti man,1
2.85e+17,everyday get live bless,1
2.9e+17,everyday wake i bless,1
2.85e+17,everyday wake bless thank god,1
2.85e+17,everyday i get dream,1
2.9e+17,everyday wake bless thank,1
2.85e+17,everyday wake bless i thank,1
2.85e+17,everyday i think suicid,0
2.9e+17,everyday bless complain,1
2.9e+17,everyday wonder day wake live life know best famili friend 3,1
2.85e+17,everyday nd night i stress,0
2.85e+17,everyday life miracl,1
2.86e+17,everyon i feel young i feel good,1
2.9e+17,everyon ti ame hate life ti ame never goe away ever,0
2.9e+17,everyon sword complain i like love life,1
2.85e+17,everyon life fword disappoint,0
2.86e+17,everyon love,1
2.85e+17,everyth want 1 choos bless never stress,1
2.85e+17,everyth good life fword,0
2.85e+17,everyth ti ame happen life truli i good,1
2.9e+17,everyth hu want die,0
2.9e+17,everyth want get,1
2.9e+17,everyth life want,1
2.9e+17,everyth dead want die,0
2.9e+17,everyth go great life hope stay way,0
2.9e+17,everyth great one thing miss need x,1
2.9e+17,everyth fword sad life,0
2.86e+17,everyth suck i sad,0
2.85e+17,everyth get go good,1
2.9e+17,everyti ame find someth good,1
2.85e+17,ew feel good,0
2.9e+17,ew worst headach,0
2.85e+17,ewh feel good,0
2.86e+17,exampl 1i sad,0
2.85e+17,goal i proud üòä,1
2.9e+17,excit life live,1
2.85e+17,excus meh i fabul,1
2.9e+17,hate life,0
2.85e+17,fml hate life live,0
2.86e+17,fml life hard everyon care get hu,0
2.86e+17,fml feel happi,1
2.85e+17,fml fword life,0
2.9e+17,fword life x,0
2.85e+17,fword fword life,0
2.86e+17,fword life,0
2.86e+17,fword life fword,0
2.9e+17,fword life dude omfg,0
2.9e+17,fword life go,0
2.9e+17,fword life laugh loud,0
2.9e+17,fword life,0
2.86e+17,fword life,0
2.9e+17,life,0
2.9e+17,fact life live,1
2.9e+17,fall asleep smile face laugh insid life amaz,1
2.85e+17,famili ti ame best ti ame make life complet,1
2.9e+17,favorit i love life,1
2.85e+17,everyth need chang life,0
2.86e+17,feel great great peopl life,1
2.85e+17,feel like i live dream,1
2.9e+17,feel like i top world love,1
2.9e+17,feel like life good god great famili motiv,1
2.85e+17,feel like i fall love,1
2.85e+17,feel like i thing wrong,0
2.9e+17,feel like i top world love,1
2.85e+17,ff life crazi pointless,0
2.9e+17,final feel proud,1
2.86e+17,final happi,1
2.85e+17,fire life complet,1
2.86e+17,i ugli,0
2.85e+17,fml i uncomfo,0
2.86e+17,i happi,1
2.9e+17,food life sword,0
2.85e+17,reason i alway happi laugh loud,1
2.9e+17,reason constantli find sad,0
2.86e+17,reason i happi happi,1
2.9e+17,truli blessed🙏,1
2.85e+17,i make sure happi life,1
2.9e+17,foreal foreal kinda hate,0
2.9e+17,forgiv i flaw,0
2.86e+17,forgiv i flaw,0
2.86e+17,hate life,0
2.85e+17,said life,0
2.86e+17,friend long,0
2.85e+17,friend think i funni sweet,1
2.9e+17,think liter everyth need,1
2.85e+17,fword feel good,0
2.9e+17,fword get worst situat,0
2.85e+17,fword suck,0
2.86e+17,fword i love,1
2.86e+17,fword life,0
2.9e+17,fword life,0
2.85e+17,fword alcohol fword fword life,0
2.9e+17,fword fword fword life,0
2.85e+17,fword dont feel good,0
2.9e+17,fword true want die right,0
2.9e+17,fword life decis,0
2.9e+17,fword life man cannot ever one thing want ask happi perfect,0
2.86e+17,fword life fword fword everyth noth ever good enough,0
2.9e+17,fword man hate life,0
2.85e+17,fword life,0
2.85e+17,fword life,0
2.9e+17,fword actual fword swordti sword cunt life,0
2.9e+17,fword life laugh loud,0
2.85e+17,fword damn life,0
2.9e+17,fword entir life serious,0
2.9e+17,fword fwordin life,0
2.85e+17,fword fword joke life,0
2.9e+17,fword fword life,0
2.86e+17,fword fword life i realli mad,0
2.85e+17,fword life,0
2.86e+17,fword life forreal,0
2.85e+17,fword life c,0
2.9e+17,fword life fword life,0
2.86e+17,fword life i hella sick,0
2.86e+17,fword life,0
2.85e+17,fword life everyon,0
2.9e+17,fword life blow tonit first need bye life,0
2.85e+17,fword life bro laugh loud,0
2.9e+17,fword life fword,0
2.86e+17,fword life fword life fword life fword life fword life fword life fword life fword life fword life fword life,0
2.9e+17,fword life hate,0
2.85e+17,fword life la,0
2.85e+17,fword life lmao,0
